URUT,R101,R102,R105,FOOD,NONFOOD,EXPEND,KAPITA,KALORI_KAP,PROTE_KAP,LEMAK_KAP,KARBO_KAP,R1802,R1810A,R2001B,R2001C,R2001D,R2001F,R2001G,R2001H,R2001K,R2001M,Banyak_Anak
500091,32,76,1,3712542.857142856,4579733.333333332,8292276.190476188,4146138.095238094,1582.177193877551,57.81426020408163,47.32120408163265,223.6648499999999,3,2,5,5,5,5,5,1,5,5,0
500117,32,76,1,1978285.714285713,3228166.666666666,5206452.381,1301613.095238095,1351.632811224489,40.58025153061225,28.23934132653061,185.2941035714285,1,4,1,1,5,5,5,1,5,1,2
500129,32,76,1,3031285.714285715,4845500,7876785.714285714,1969196.428571428,2023.078558673469,64.54317602040815,40.48968112244897,296.3406607142857,1,4,1,1,5,5,1,1,1,1,1
500139,32,76,1,1500000,4308750,5808750,5808750,3057.225122,109.1408816,41.34333265306122,448.9044999999998,1,3,1,5,5,5,5,5,1,1,0
500170,32,76,1,4943142.857142855,2884000,7827142.857142855,1565428.571428571,1555.753571428571,49.90174285714284,40.10519999999998,229.0723428571428,1,2,1,5,5,5,5,1,5,1,3
500172,32,76,1,2692457.142857143,2897125,5589582.142857143,1397395.535714285,2256.725413265306,60.45937244897958,55.74255867346936,304.5226071428571,1,1,1,5,5,1,5,1,5,1,2
500174,32,76,1,4994571.428571429,5044499.999999998,10039071.42857142,1673178.571428571,1687.016629251701,53.46767346938776,44.25830034013606,227.0383238095238,1,4,1,5,5,5,5,1,5,1,4
500192,32,76,1,1834671.428571428,1906666.666666666,3741338.095238095,935334.5238095236,1119.140918367347,46.95054081632653,28.68085204081632,141.3839107142857,1,2,1,5,5,5,5,1,5,1,2
500212,32,76,1,2725285.714285714,6233916.666666666,8959202.381,8959202.381,2475.736918367347,68.91873265306121,64.11448367346937,330.4862285714286,1,1,1,5,5,1,5,1,5,1,0
500223,32,76,1,1825499.999999999,2870250.000000002,4695750.000000001,939150.0000000003,1440.609040816326,46.48990816,34.66069183673469,221.6820714285714,1,4,1,5,5,1,5,1,5,1,3
500225,32,76,1,1937228.571428571,1470500,3407728.571428572,851932.1429,1857.576295918367,62.03581632653061,43.89625510204081,279.9264464285714,3,4,1,5,5,5,5,1,5,1,2
500236,32,76,1,2224285.714285714,1664666.666666666,3888952.380952381,1296317.46,2390.127074829931,75.98649659863943,49.62857823129251,320.3658095238093,1,4,1,5,5,5,5,1,5,5,1
500254,32,76,1,5873142.857142858,6947750.000000003,12820892.85714286,3205223.214285715,2841.216301020408,87.55158163265305,90.23172193877548,323.3106249999999,1,4,1,5,5,5,5,1,5,1,2
